"21";"1";"14";"black"
"21";"2";"14";"black"
"22";"1";"14";"silver"
"22";"2";"14";"silver"
"23";"1";"14";"black"
"23";"2";"14";"black"
"24";"1";"14";"black"
"24";"2";"14";"black"
"25";"1";"14";"ivory"
"25";"2";"14";"ivory"
"26";"1";"14";"berry"
"26";"2";"14";"berry"
"27";"1";"14";"green"
"27";"2";"14";"green"
"28";"1";"14";"black"
"28";"2";"14";"black"
"29";"1";"14";"black"
"29";"2";"14";"black"
"30";"1";"14";"grey"
"30";"2";"14";"grey"
"31";"1";"14";"black"
"31";"2";"14";"black"
"32";"1";"14";"berry"
"32";"2";"14";"berry"
"33";"1";"14";"black"
"33";"2";"14";"black"
"34";"1";"14";"navy"
"34";"2";"14";"navy"
"35";"1";"14";"nude"
"35";"2";"14";"nude"
"36";"1";"14";"mint"
"36";"2";"14";"mint"
"37";"1";"14";"grey"
"37";"2";"14";"grey"
"38";"1";"14";"stone"
"38";"2";"14";"stone"
"39";"1";"14";"cream"
"39";"2";"14";"cream"
"40";"1";"14";"black"
"40";"2";"14";"black"
"41";"1";"14";"ivory"
"41";"2";"14";"ivory"
"42";"1";"14";"black"
"42";"2";"14";"black"
"43";"1";"14";"nude"
"43";"2";"14";"nude"
"44";"1";"14";"black"
"44";"2";"14";"black"
"45";"1";"14";"cobalt"
"45";"2";"14";"cobalt"
"46";"1";"14";"purple"
"46";"2";"14";"purple"
"47";"1";"14";"red"
"47";"2";"14";"red"
"48";"1";"14";"black"
"48";"2";"14";"black"
"49";"1";"14";"black"
"49";"2";"14";"black"
"50";"1";"14";"blush"
"50";"2";"14";"blush"
"51";"1";"14";"black"
"51";"2";"14";"black"
"52";"1";"14";"red"
"52";"2";"14";"red"
"53";"1";"14";"ivory"
"53";"2";"14";"ivory"
"54";"1";"14";"grape"
"54";"2";"14";"grape"
"55";"1";"14";"stone"
"55";"2";"14";"stone"
"56";"1";"14";"black"
"56";"2";"14";"black"
"57";"1";"14";"stone"
"57";"2";"14";"stone"
"58";"1";"14";"berry"
"58";"2";"14";"berry"
"59";"1";"14";"black"
"59";"2";"14";"black"
"60";"1";"14";"red"
"60";"2";"14";"red"
"61";"1";"14";"grape"
"61";"2";"14";"grape"
"62";"1";"14";"navy"
"62";"2";"14";"navy"
"63";"1";"14";"black"
"63";"2";"14";"black"
"64";"1";"14";"wine"
"64";"2";"14";"wine"
"65";"1";"14";"grape"
"65";"2";"14";"grape"
"66";"1";"14";"black"
"66";"2";"14";"black"
"67";"1";"14";"stone"
"67";"2";"14";"stone"
"68";"1";"14";"berry"
"68";"2";"14";"berry"
"69";"1";"14";"berry"
"69";"2";"14";"berry"
"70";"1";"14";"black"
"70";"2";"14";"black"
"71";"1";"14";"stone"
"71";"2";"14";"stone"
"72";"1";"14";"berry"
"72";"2";"14";"berry"
"73";"1";"14";"black"
"73";"2";"14";"black"
"74";"1";"14";"black"
"74";"2";"14";"black"
"75";"1";"14";"navy"
"75";"2";"14";"navy"
"76";"1";"14";"berry"
"76";"2";"14";"berry"
"77";"1";"14";"black"
"77";"2";"14";"black"
"78";"1";"14";"berry"
"78";"2";"14";"berry"
"79";"1";"14";"jade"
"79";"2";"14";"jade"
"80";"1";"14";"black"
"80";"2";"14";"black"
"81";"1";"14";"magenta"
"81";"2";"14";"magenta"
"82";"1";"14";"cobalt"
"82";"2";"14";"cobalt"
"83";"1";"14";"navy"
"83";"2";"14";"navy"
"84";"1";"14";"berry"
"84";"2";"14";"berry"
"85";"1";"14";"charcoal"
"85";"2";"14";"charcoal"
"86";"1";"14";"navy"
"86";"2";"14";"navy"
"87";"1";"14";"berry"
"87";"2";"14";"berry"
"88";"1";"14";"grey marl"
"88";"2";"14";"grey marl"
"89";"1";"14";"grey"
"89";"2";"14";"grey"
"90";"1";"14";"black"
"90";"2";"14";"black"
"91";"1";"14";"berry"
